AI,Rrup,Mw,Vs30,zh,
0.0034982,68.24813268,5.2,522.9963,130,5
0.007276112,59.64144409,5.2,203.2111,131,5
0.012304267,54.98184966,5.2,238.2027,132,5
0.019526339,61.78535228,5.2,246.7284,133,5
0.045171637,67.65433434,5.2,274.122,134,5
0.014197244,53.13916767,5.2,270.7708,135,5
0.011869189,54.43118316,5.2,218.1334,136,5
0.034117046,47.35299506,5.2,281.2124,137,5
0.022118786,52.4125796,5.2,258.5682,138,5
0.002665429,69.24014166,5.2,291.7127,139,5
0.004317105,69.26835178,5.2,136.088,140,5
0.004170949,78.50138925,5.2,119.6667,141,5
0.002017873,82.22826704,5.2,382.2518,142,5
0.002681272,93.41971066,5.2,138.1374,143,5
0.009773225,62.82806882,5.2,89.19601,144,5
0.001727832,103.8973971,5.2,259.5523,145,5
0.001787822,80.94398585,5.2,661.4196,146,5
0.019813908,56.99679904,5.2,156.3224,147,5
0.002985247,71.91668294,5.2,325.5844,148,5
0.005613099,61.50945721,5.2,146.4362,149,5
0.007685423,57.71475985,5.2,120.869,150,5
0.003620405,130.4228628,5.2,399.9957,151,5
0.001318601,142.1005639,5.2,309.6915,152,5
0.004439629,156.8689987,5.2,199.3158,153,5
0.002198125,119.7456679,5.2,353.3482,154,5
0.001873945,115.0984054,5.2,253.6669,155,5
0.002803438,94.44591206,5.2,309.0803,156,5
0.012758761,111.223331,5.2,256.9584,157,5
0.00171287,113.2797267,5.2,523.1513,158,5
0.004036686,70.68653795,5.2,377.0819,159,5
0.005595502,78.89231127,5.2,363.2759,160,5
0.048331924,88.97447336,5.2,421.7628,161,5
0.002277886,81.9604178,5.2,321.4917,162,5
0.00464028,61.76819665,5.2,293.7617,163,5
0.007844202,143.6013319,5.2,430.6437,164,5
0.029416844,106.8725764,5.7,243.39799,165,6
0.008315287,93.54405002,5.7,363.31973,166,6
0.071749403,90.13145549,5.7,206.55794,167,6
0.006536206,97.08912593,5.7,336.31079,168,6
0.01113252,86.66951782,5.7,243.66833,169,6
0.03840477,82.99363226,5.7,248.68715,170,6
0.023396871,85.38230648,5.7,127.1408,171,6
0.016246402,77.51199427,5.7,131.13963,172,6
0.008520341,84.87481287,5.7,245.74942,173,6
0.009628198,77.24717721,5.7,228.96497,174,6
0.031356862,73.77310724,5.7,275.56555,175,6
0.012133881,67.59741254,5.7,290.70941,176,6
0.087993008,72.49397562,5.7,185.37057,177,6
0.027335892,73.54276075,5.7,171.66423,178,6
0.021478341,64.78572101,5.7,166.97049,179,6
0.04504093,67.13756691,5.7,255.86218,180,6
0.039352137,64.13209219,5.7,389.23804,181,6
0.012963482,76.00786646,5.7,144.11224,182,6
0.01728864,66.85064256,5.7,165.19353,183,6
0.006937561,79.3700581,5.7,743.37653,184,6
0.048674847,74.649358,5.7,307.31921,185,6
0.011481124,79.39412704,5.7,215.21594,186,6
0.00421088,163.6568311,5.7,416.52783,187,6
0.003696236,152.5484255,5.7,274.86993,188,6
0.002783558,160.6502464,5.7,274.5092,189,6
0.012966427,151.9677338,5.7,333.0297,190,6
0.025525156,138.2461648,5.7,265.5409,191,6
0.003780746,133.5931197,5.7,522.9963,192,6
0.003944723,130.2332793,5.7,272.6518,193,6
0.010635426,123.0914794,5.7,203.2111,194,6
0.007367387,115.849377,5.7,238.2027,195,6
0.014546345,120.2128744,5.7,246.7284,196,6
0.021620336,118.5254518,5.7,274.122,197,6
0.011178403,110.2786756,5.7,270.7708,198,6
0.016226107,114.6478903,5.7,218.1334,199,6
0.017390547,98.8947575,5.7,281.2124,200,6
0.010983097,99.95031129,5.7,258.5682,201,6
0.00483962,105.7507096,5.7,291.7127,202,6
0.016354475,87.75829796,5.7,136.088,203,6
0.015316639,88.54058192,5.7,119.6667,204,6
0.006000538,84.39401972,5.7,615.7157,205,6
0.013849892,86.63709619,5.7,262.0394,206,6
0.008379531,94.48902949,5.7,382.2518,207,6
0.004136512,111.5055055,5.7,343.7977,208,6
0.009999512,105.3185097,5.7,138.1374,209,6
0.002820864,104.1967839,5.7,375.5872,210,6
0.002271912,114.8896433,5.7,473.4697,211,6
0.012208965,117.6003805,5.7,99.70285,212,6
0.003477475,123.4648196,5.7,396.2268,213,6
0.019664386,121.434178,5.7,89.19601,214,6
0.030099126,111.9666366,5.7,156.3224,215,6
0.005053165,118.788488,5.7,325.5844,216,6
0.014912869,111.2523549,5.7,146.4362,217,6
0.015453946,101.7348152,5.7,120.869,218,6
0.0083809,113.3222146,5.7,298.5533,219,6
0.004158521,123.1537058,5.7,399.9957,220,6
0.003049316,124.1318799,5.7,309.6915,221,6
0.015966716,131.9243469,5.7,199.3158,222,6
0.002488601,186.6933565,5.7,353.3482,223,6
0.001621861,194.2984271,5.7,432.5877,224,6
0.00309944,181.8338936,5.7,253.6669,225,6
0.013067746,161.4573782,5.7,309.0803,226,6
0.034297125,178.2580204,5.7,256.9584,227,6
0.006349022,135.7557695,5.7,377.0819,228,6
0.00849112,144.9990248,5.7,363.2759,229,6
0.024237155,153.7633175,5.7,421.7628,230,6
0.015514051,123.4102243,5.7,253.933,231,6
0.015642326,108.6934997,5.7,321.4917,232,6
0.009320002,105.9798037,5.7,278.458,233,6
0.006583999,106.1134667,5.7,306.3208,234,6
0.012118963,97.36321033,5.7,293.7617,235,6
0.0244201,110.7014928,5.7,430.6437,236,6
0.017670735,84.88980015,5.1,243.39799,237,7
0.021115061,77.602721,5.1,363.31973,238,7
0.036190893,76.68807531,5.1,206.55794,239,7
0.005899959,79.77278085,5.1,243.66833,240,7
0.025367629,76.71292778,5.1,248.68715,241,7
0.013771294,75.31900969,5.1,127.1408,242,7
0.024552859,74.15872675,5.1,131.13963,243,7
0.003055234,84.60299553,5.1,228.96497,244,7
0.019623912,78.48425687,5.1,275.56555,245,7
0.011060125,79.72408422,5.1,290.70941,246,7
0.056124846,75.52481108,5.1,185.37057,247,7
0.037576488,79.53674965,5.1,171.66423,248,7
0.003813587,87.30587,5.1,166.97049,249,7
0.044247207,81.83444056,5.1,255.86218,250,7
0.002140678,92.97041048,5.1,389.23804,251,7
0.010758293,94.66607257,5.1,144.11224,252,7
0.003398813,92.44249556,5.1,165.19353,253,7
0.025962329,83.14844778,5.1,307.31921,254,7
0.012961285,74.08283296,5.1,215.21594,255,7
0.002949271,165.878571,5.1,584.48499,256,7
0.003643325,132.5393294,5.1,416.52783,257,7
0.001888999,111.3369655,5.1,278.27405,258,7
0.002347469,122.4560902,5.1,274.86993,259,7
0.008199776,129.6989826,5.1,333.0297,260,7
0.007024373,114.4688832,5.1,265.5409,261,7
0.003339259,97.7297092,5.1,203.2111,262,7
0.002667165,93.3718164,5.1,238.2027,263,7
0.005513002,100.1859838,5.1,246.7284,264,7
0.011780252,103.5458366,5.1,274.122,265,7
0.004187371,90.84599221,5.1,270.7708,266,7
0.005808017,90.56157352,5.1,218.1334,267,7
0.012007262,81.05947509,5.1,281.2124,268,7
0.007335311,86.61715357,5.1,258.5682,269,7
0.025131569,80.79746954,5.1,136.088,270,7
0.00933099,85.28543993,5.1,119.6667,271,7
0.00589739,89.03550728,5.1,382.2518,272,7
0.006440781,98.89648368,5.1,343.7977,273,7
0.003989691,98.58383344,5.1,138.1374,274,7
0.003326627,95.29929089,5.1,89.19601,275,7
0.004558353,126.0584874,5.1,259.5523,276,7
0.001932971,106.7820925,5.1,661.4196,277,7
0.008705915,88.33234186,5.1,156.3224,278,7
0.004056008,95.531889,5.1,325.5844,279,7
0.006019817,88.6050436,5.1,146.4362,280,7
0.002745036,126.3401068,5.1,399.9957,281,7
0.003132648,146.6072832,5.1,199.3158,282,7
0.004248904,130.996194,5.1,309.0803,283,7
0.016533762,147.0465606,5.1,256.9584,284,7
0.001285475,119.9181191,5.1,386.0611,285,7
0.01825877,127.6611564,5.1,421.7628,286,7
0.004737459,102.9312521,5.1,253.933,287,7
0.012137772,94.33688249,5.1,321.4917,288,7
0.010184073,93.73095865,5.1,278.458,289,7
0.00325948,89.51188821,5.1,306.3208,290,7
0.013840658,81.6969652,5.1,293.7617,291,7
0.013772642,127.5040469,5.7,243.39799,292,8
0.004384799,133.6700545,5.7,363.31973,293,8
0.037813109,122.8941632,5.7,206.55794,294,8
0.015548531,89.99832364,5.7,336.31079,295,8
0.00768717,108.2479924,5.7,243.66833,296,8
0.020541147,116.7099966,5.7,248.68715,297,8
0.003041934,141.4449986,5.7,127.1408,298,8
0.003511848,131.9491535,5.7,131.13963,299,8
0.006688365,100.2716356,5.7,245.74942,300,8
0.003433559,111.7103558,5.7,228.96497,301,8
0.005930092,121.9329546,5.7,275.56555,302,8
0.00779269,72.21169418,5.7,209.85481,303,8
0.002290476,87.63690666,5.7,576.61603,304,8
0.002922279,161.8906998,5.7,416.52783,305,8
0.015347683,87.73743747,5.7,228.0233,306,8
0.052595028,63.92230688,5.7,432.8886,307,8
0.074614808,63.02622209,5.7,274.5092,308,8
0.057838602,76.97750457,5.7,333.0297,309,8
0.040198256,89.03501733,5.7,265.5409,310,8
0.024159092,73.62701924,5.7,420.4355,311,8
0.05863586,64.41928555,5.7,307.42,312,8
0.005651478,109.3165715,5.7,522.9963,313,8
0.009771173,112.9981869,5.7,203.2111,314,8
0.011694295,105.25157,5.7,238.2027,315,8
0.016060551,88.9442804,5.7,246.7284,316,8
0.170851383,76.39229296,5.7,274.122,317,8
0.023295578,99.60347461,5.7,270.7708,318,8
0.011308662,120.7544971,5.7,218.1334,319,8
0.025988801,117.0677934,5.7,281.2124,320,8
0.013866663,96.89754892,5.7,258.5682,321,8
0.041194343,77.74572128,5.7,291.7127,322,8
0.001458373,183.5813183,5.7,259.5523,323,8
0.006741027,135.9518523,5.7,156.3224,324,8
0.001583954,159.2919471,5.7,325.5844,325,8
0.003732176,145.4169584,5.7,120.869,326,8
0.003100211,113.8243882,5.7,487.2012,327,8
0.002559849,135.7079697,5.7,353.3482,328,8
0.003120008,119.3854913,5.7,253.6669,329,8
0.00544467,102.9752428,5.7,478.8921,330,8
0.02674881,133.2723855,5.7,256.9584,331,8
0.010476991,123.6711266,5.7,377.0819,332,8
0.007439894,105.336979,5.7,363.2759,333,8
0.096214627,94.34068393,5.7,421.7628,334,8
0.00351427,119.6851843,5.3,243.39799,335,9
0.005375982,114.2571207,5.3,206.55794,336,9
0.006094096,81.49576962,5.3,336.31079,337,9
0.010053867,107.9240047,5.3,248.68715,338,9
0.001651049,123.3694178,5.3,131.13963,339,9
0.003336662,92.20007783,5.3,245.74942,340,9
0.001538208,103.6659625,5.3,228.96497,341,9
0.001401473,158.7041585,5.3,416.52783,342,9
0.004694951,90.78912898,5.3,228.0233,343,9
0.015302068,69.66589782,5.3,432.8886,344,9
0.041907517,65.24048629,5.3,274.5092,345,9
0.024920414,75.50013105,5.3,333.0297,346,9
0.012077504,84.43462384,5.3,265.5409,347,9
0.012654402,69.33644529,5.3,420.4355,348,9
0.016011695,60.67105104,5.3,307.42,349,9
0.00219737,103.7641913,5.3,522.9963,350,9
0.004097074,106.2992287,5.3,203.2111,351,9
0.006355457,97.82449978,5.3,238.2027,352,9
